-0.995,0
-0.985,0
-0.975,0.0001
-0.965,0.0001
-0.955,0.0001
-0.945,0.0002
-0.935,0.0005
-0.925,0.0004
-0.915,0.0007
-0.905,0.0006
-0.895,0.0011
-0.885,0.0012
-0.875,0.0013
-0.865,0.0013
-0.855,0.0009
-0.845,0.0011
-0.835,0.0021
-0.825,0.0018
-0.815,0.0024
-0.805,0.0019
-0.795,0.0018
-0.785,0.0014
-0.775,0.0022
-0.765,0.0033
-0.755,0.0038
-0.745,0.0036
-0.735,0.0046
-0.725,0.0032
-0.715,0.005
-0.705,0.0047
-0.695,0.0038
-0.685,0.0038
-0.675,0.0056
-0.665,0.0038
-0.655,0.0065
-0.645,0.0044
-0.635,0.0058
-0.625,0.0061
-0.615,0.0067
-0.605,0.0068
-0.595,0.0061
-0.585,0.0076
-0.575,0.0077
-0.565,0.0083
-0.555,0.0079
-0.545,0.0096
-0.535,0.0092
-0.525,0.0093
-0.515,0.0089
-0.505,0.0103
-0.495,0.0106
-0.485,0.0114
-0.475,0.0121
-0.465,0.0118
-0.455,0.0138
-0.445,0.0129
-0.435,0.0145
-0.425,0.0146
-0.415,0.0129
-0.405,0.0153
-0.395,0.0162
-0.385,0.0175
-0.375,0.0178
-0.365,0.019
-0.355,0.0169
-0.345,0.0194
-0.335,0.0164
-0.325,0.0245
-0.315,0.0205
-0.305,0.0246
-0.295,0.0237
-0.285,0.0226
-0.275,0.0225
-0.265,0.0221
-0.255,0.0254
-0.245,0.0285
-0.235,0.0275
-0.225,0.0238
-0.215,0.0275
-0.205,0.0283
-0.195,0.0293
-0.185,0.0305
-0.175,0.0326
-0.165,0.034
-0.155,0.0351
-0.145,0.0339
-0.135,0.0364
-0.125,0.0354
-0.115,0.0379
-0.105,0.0383
-0.095,0.0413
-0.085,0.0428
-0.075,0.0409
-0.065,0.0499
-0.055,0.0469
-0.045,0.0451
-0.035,0.0498
-0.025,0.0513
-0.015,0.0503
-0.005,0.058
0.005,0.0567
0.015,0.0577
0.025,0.0565
0.035,0.0642
0.045,0.0658
0.055,0.0665
0.065,0.0723
0.075,0.0704
0.085,0.0797
0.095,0.076
0.105,0.0799
0.115,0.0893
0.125,0.0783
0.135,0.0838
0.145,0.0874
0.155,0.0934
0.165,0.0987
0.175,0.099
0.185,0.1064
0.195,0.1023
0.205,0.1095
0.215,0.1191
0.225,0.118
0.235,0.1288
0.245,0.1239
0.255,0.1311
0.265,0.1369
0.275,0.1413
0.285,0.1496
0.295,0.1604
0.305,0.1573
0.315,0.1659
0.325,0.1668
0.335,0.1768
0.345,0.1912
0.355,0.1976
0.365,0.1996
0.375,0.2073
0.385,0.2221
0.395,0.2305
0.405,0.2389
0.415,0.26
0.425,0.2629
0.435,0.2844
0.445,0.2857
0.455,0.3013
0.465,0.3064
0.475,0.3239
0.485,0.3454
0.495,0.3473
0.505,0.3674
0.515,0.3908
0.525,0.4065
0.535,0.4259
0.545,0.4455
0.555,0.4778
0.565,0.4868
0.575,0.518
0.585,0.547
0.595,0.5792
0.605,0.6159
0.615,0.6403
0.625,0.6649
0.635,0.6955
0.645,0.7236
0.655,0.7889
0.665,0.8269
0.675,0.8631
0.685,0.9256
0.695,0.9667
0.705,1.0403
0.715,1.0868
0.725,1.1651
0.735,1.2318
0.745,1.3309
0.755,1.385
0.765,1.4901
0.775,1.5837
0.785,1.6901
0.795,1.7776
0.805,1.9163
0.815,2.0623
0.825,2.2183
0.835,2.3403
0.845,2.4943
0.855,2.7425
0.865,2.9129
0.875,3.1325
0.885,3.3162
0.895,3.5715
0.905,3.8477
0.915,4.1041
0.925,4.4027
0.935,4.5719
0.945,4.7584
0.955,4.8484
0.965,4.6782
0.975,3.971
0.985,2.2898
0.995,0.3249
1.005,0
